id,name,link,osm_url,lat,lon,categories,bookable,link_ok,open_now,street,housenumber,postcode,city,address
node/293964812,Elgiganten,https://www.elgiganten.se/stores/skane-lan/kristianstad/kristianstad,https://www.openstreetmap.org/node/293964812,56.0216182,14.1189112,robot_mower_seller,,,,,,,,
node/416102202,Stuvsta Trädgård,http://www.stuvstatradgard.se/,https://www.openstreetmap.org/node/416102202,59.2507654,18.0070734,robot_mower_seller,,,,,,,,
node/417751797,NetOnNet,https://www.netonnet.se/,https://www.openstreetmap.org/node/417751797,59.1766132,18.1474615,robot_mower_seller,,,,,,,,
node/440619110,Elgiganten,https://www.elgiganten.se/store/elgiganten-borlange,https://www.openstreetmap.org/node/440619110,60.48053,15.4200859,robot_mower_seller,,,,Norra Backagatan,3A,781 70,Borlänge,"Norra Backagatan 3A, 781 70 Borlänge"
node/444531182,Jula,https://www.jula.com/,https://www.openstreetmap.org/node/444531182,58.4349736,15.5935698,robot_mower_seller,,,,Norra Svedengatan,11A,582 73,Linköping,"Norra Svedengatan 11A, 582 73 Linköping"
node/444867453,Furusunds Handelsträdgård,http://www.xn--furusundshandelstrdgrd-i5b0a.se/,https://www.openstreetmap.org/node/444867453,59.662187,18.9105147,robot_mower_seller,,,,,,,,
node/535250759,Robot Mower Seller – bergdaladesign.se,http://www.bergdaladesign.se,https://www.openstreetmap.org/node/535250759,56.8348847,15.2210716,robot_mower_seller,,,,,,,,
node/544601309,Jula Borlänge,https://www.jula.se/vara-varuhus/borlange/,https://www.openstreetmap.org/node/544601309,60.4800857,15.4201004,robot_mower_seller,,,,Norra Backagatan,3C,781 70,Borlänge,"Norra Backagatan 3C, 781 70 Borlänge"
node/590750505,Biltema,https://www.biltema.se/sv/varuhus/borlange/,https://www.openstreetmap.org/node/590750505,60.4794823,15.4152543,robot_mower_seller,,,,Mekanikergatan,6,781 70,Borlänge,"Mekanikergatan 6, 781 70 Borlänge"
node/626004067,Byggmax,https://www.byggmax.se/,https://www.openstreetmap.org/node/626004067,55.6512911,13.2280178,robot_mower_seller,,,,,,,,
node/649150758,Elmsta Färg & Järnhandel,https://www.elmstajarn.se,https://www.openstreetmap.org/node/649150758,59.972426,18.8095417,robot_mower_seller,,,,,,,,
node/668182302,Clas Ohlson,https://www.clasohlson.se/,https://www.openstreetmap.org/node/668182302,58.4113444,15.6269023,robot_mower_seller,,,,Storgatan,13,582 23,Linköping,"Storgatan 13, 582 23 Linköping"
node/675916161,Kröns trädgård,https://www.kronstradgard.se,https://www.openstreetmap.org/node/675916161,59.9794655,18.8163897,robot_mower_seller,,,,,,,,
node/699613480,Elgiganten,https://nya.elgiganten.se/store/elgiganten-kungsgatan,https://www.openstreetmap.org/node/699613480,59.3361565,18.0688344,robot_mower_seller,,,,,,,,
node/770414603,Granngården,https://www.granngarden.se/,https://www.openstreetmap.org/node/770414603,59.4630887,18.1306603,robot_mower_seller,,,,Hantverkarvägen,1,,,Hantverkarvägen 1
node/807697101,Brunnsvikens Trädgård & Café,http://www.brunnsvikenstradgard.se,https://www.openstreetmap.org/node/807697101,59.3802579,18.0185703,robot_mower_seller,,,,,,,,
node/807717363,Elgiganten,https://www.elgiganten.se/,https://www.openstreetmap.org/node/807717363,59.746322,18.6800979,robot_mower_seller,,,,August Strindbergs gata,3,761 46,Norrtälje,"August Strindbergs gata 3, 761 46 Norrtälje"
node/893968712,STHLM Knit Company,https://sthlmknit.se/,https://www.openstreetmap.org/node/893968712,59.3159419,18.0626882,robot_mower_seller,,,,Maria Prästgårdsgata,17,118 52,Stockholm,"Maria Prästgårdsgata 17, 118 52 Stockholm"
node/944137976,Klinta kryddor och grönt,http://klintakryddor.se/cafe/,https://www.openstreetmap.org/node/944137976,55.8588414,13.5004735,robot_mower_seller,,,,Snogeröd,660,243 95,Höör,"Snogeröd 660, 243 95 Höör"
node/974637262,Bauhaus,https://www.bauhaus.se/varuhus/bromma,https://www.openstreetmap.org/node/974637262,59.3541668,17.9616427,robot_mower_seller,,,,Karlsbodavägen,2,,,Karlsbodavägen 2
node/983277766,Ekastiga Gårdsbutik,https://www.ekastiga.com/,https://www.openstreetmap.org/node/983277766,55.9568436,13.520506,robot_mower_seller,,,,,,,,
